,playlistID,TrackName,TrackID,SampleURL,ReleaseYear,Genres,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,duration_ms,Popularity,hit
9092,4bcWQseNOLnxH4XUgpmgkQ,$ave Dat Money (feat. Fetty Wap & Rich Homie Quan),1TkWsnheqK0gBtvh07BtNX,https://p.scdn.co/mp3-preview/b035cafb0f885335152da450bb2bbbf92e9e6080?cid=f6c16355a53748e790f598a2bdb1ad10,31.07.15,"['comedy rap', 'pop rap', 'rap']",0.858,0.697,-5.361,0.23,0.114,0,0.224,0.364,98.013,2,1,290836,64,0
1778,6DjIRlc7hnwSYT3lf95eVy,(What's So Funny 'Bout) Peace Love and Understanding,4z8D3zDFmZH2XOx4ufhOXZ,https://p.scdn.co/mp3-preview/206799d08bde8b21cc96c79e8f1a50517f911b43?cid=e6a77915d1ff4ea8ba6a2b2025712ac9,05.11.21,"['classic uk pop', 'country rock', 'folk rock', 'power pop', 'pub rock', 'roots rock']",0.435,0.803,-10.564,0.0379,0.000822,0,0.0843,0.656,131.355,2,1,212360,0,0
1655,6DjIRlc7hnwSYT3lf95eVy,+,5Cbo7oz78gqkzV3EAM63VA,https://p.scdn.co/mp3-preview/5f44ae2309420628ad39e364a0e3031fe8324ad3?cid=e6a77915d1ff4ea8ba6a2b2025712ac9,17.12.19,"['latin pop', 'latin talent show', 'spanish pop']",0.561,0.666,-4.243,0.0322,0.106,0,0.123,0.675,160.019,8,1,219367,64,0
10022,4bcWQseNOLnxH4XUgpmgkQ,אשריכם,4QFzIzaHWWl8zqu9z1sjxL,https://p.scdn.co/mp3-preview/1a65f79ac72a80bc350609ae165fe9ae81f06f50?cid=f6c16355a53748e790f598a2bdb1ad10,01.06.14,"['chasidic pop', 'jewish pop']",0.572,0.924,-4.033,0.0476,0.517,0,0.407,0.821,159.922,2,0,106227,26,0
1691,6DjIRlc7hnwSYT3lf95eVy,"0 Sentimientos (Remix) [feat. Noriel, Darkiel, Lyan, Messiah & Baby Rasta]",4COGASZEbAxmH6k5gYMo6G,https://p.scdn.co/mp3-preview/f37651fd6ef4e6b3d72cd140f590522acb806b34?cid=e6a77915d1ff4ea8ba6a2b2025712ac9,24.11.16,"['reggaeton', 'reggaeton flow', 'trap latino']",0.894,0.721,-5.829,0.258,0.155,0,0.154,0.392,107.963,4,0,335737,70,0
4401,4bcWQseNOLnxH4XUgpmgkQ,0 To 100 / The Catch Up,4jtyUzZm9WLc2AdaJ1dso7,https://p.scdn.co/mp3-preview/76e30eaf0afd80ccf06ec8d3bfc590d50a7c197d?cid=f6c16355a53748e790f598a2bdb1ad10,14.07.13,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",0.559,0.716,-3.964,0.39,0.737,0,0.252,0.504,176.618,11,0,275227,71,0
3677,4bcWQseNOLnxH4XUgpmgkQ,00:00 (Zero O’Clock),6fqaMyg066xlukvUJWdM2T,https://p.scdn.co/mp3-preview/d2b337a19d32d4c3f2d5befd5beae1a71c76ca34?cid=f6c16355a53748e790f598a2bdb1ad10,21.02.20,"['k-pop', 'k-pop boy group']",0.56,0.547,-6.456,0.0675,0.0806,0,0.11,0.199,157.962,1,1,250296,73,0
414,6DjIRlc7hnwSYT3lf95eVy,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",4QtiVmuA88tPQiCOHZuQ5b,https://p.scdn.co/mp3-preview/f4bd281193a6863ddedd32093405dde261c1426a?cid=e6a77915d1ff4ea8ba6a2b2025712ac9,16.02.18,"['dance pop', 'latin', 'latin pop', 'mexican pop', 'pop', 'reggaeton']",0.792,0.895,-3.112,0.0589,0.165,0,0.0501,0.794,94.968,1,0,201526,66,0
7081,4bcWQseNOLnxH4XUgpmgkQ,"1, 2, 3 Turn Around",073noMfO0WT3AHt4jpRsT7,https://p.scdn.co/mp3-preview/cf4bb7a2a4a0cd66f3570d4e1a8efcd886e97f0d?cid=f6c16355a53748e790f598a2bdb1ad10,06.11.15,['deep dance pop'],0.598,0.84,-6.005,0.159,0.00573,0,0.132,0.598,89.937,2,1,176672,28,0
1194,6DjIRlc7hnwSYT3lf95eVy,"1, 2, 3, 4",2pyvhTympyCCwyglsCN7AJ,https://p.scdn.co/mp3-preview/e689d1567249d9023c50a06c16e37740496a298c?cid=e6a77915d1ff4ea8ba6a2b2025712ac9,27.09.08,"['dutch hip hop', 'dutch pop', 'dutch rock', 'nederreggae']",0.792,0.8,-2.999,0.27,0.0215,0,0.114,0.633,98.29,7,1,243240,20,0
6476,4bcWQseNOLnxH4XUgpmgkQ,"1,000,000 X Better",1C9gBBVzVvajpIpOISBrIj,https://p.scdn.co/mp3-preview/fe855bcfe5fc8fca13530d2a24ca46de570f7e3f?cid=f6c16355a53748e790f598a2bdb1ad10,07.05.21,"['dance pop', 'pop', 'tropical house', 'uk pop']",0.746,0.775,-7.871,0.122,0.629,0.000548,0.0622,0.594,120.009,0,1,191739,9,0
1591,6DjIRlc7hnwSYT3lf95eVy,1/2 Lovesong - Live & Unplugged,4WLx7sa47UxeGd8iwhUXQG,https://p.scdn.co/mp3-preview/7ea734732e812a9f8c05b01a9e283cb68ef2f8e5?cid=e6a77915d1ff4ea8ba6a2b2025712ac9,04.11.02,"['german alternative rock', 'german pop', 'german punk', 'german rock']",0.403,0.726,-7.301,0.03,0.0784,0,0.991,0.396,99.386,4,0,254853,27,0
5240,4bcWQseNOLnxH4XUgpmgkQ,1+1,71Taskl2O73XfpQtJciJCD,https://p.scdn.co/mp3-preview/8ab1d1179bc4dd2c4f3c081057aa035445f99aaa?cid=f6c16355a53748e790f598a2bdb1ad10,12.02.21,"['australian dance', 'australian pop', 'pop']",0.862,0.641,-4.109,0.0442,0.12,1.04E-05,0.336,0.674,109.998,0,1,178656,61,0
5268,4bcWQseNOLnxH4XUgpmgkQ,1+1 (feat. Yandel & Sofía Reyes) - Banx & Ranx Remix,2en8KkmwWVRnAFlUueeDs0,https://p.scdn.co/mp3-preview/4dc920a7419536049c2abce97aa403fb7738203a?cid=f6c16355a53748e790f598a2bdb1ad10,06.08.21,"['australian dance', 'australian pop', 'pop']",0.728,0.791,-4.494,0.0468,0.0356,0,0.34,0.47,109.949,0,1,204707,57,0
11762,4bcWQseNOLnxH4XUgpmgkQ,100 MILLONES,4Ixc50wY5pbUvNEogTQ2wL,https://p.scdn.co/mp3-preview/a3a23a1f1902a31ac72c017c0671c7590e0b9241?cid=f6c16355a53748e790f598a2bdb1ad10,28.05.21,"['latin', 'reggaeton', 'trap latino']",0.808,0.559,-6.936,0.452,0.133,6.57E-06,0.0966,0.48,169.103,1,1,237459,66,0
8973,4bcWQseNOLnxH4XUgpmgkQ,1000 fan,277oes5yqDLHg1JDyAjAOk,https://p.scdn.co/mp3-preview/c5cc6d89da6e3279e1ba1cb1028fe056ca5f1aaf?cid=f6c16355a53748e790f598a2bdb1ad10,06.03.14,"['indie siciliano', 'italian indie pop']",0.64,0.202,-11.38,0.0321,0.767,0,0.127,0.448,104.577,5,1,125000,16,0
1923,6DjIRlc7hnwSYT3lf95eVy,1000 pedazos,7M687qFkpNSk9oXRVYthEp,https://p.scdn.co/mp3-preview/b871d6258da8d3c9e3c08d9be139415ba72bfe58?cid=e6a77915d1ff4ea8ba6a2b2025712ac9,13.08.13,"['latin rock', 'spanish indie pop']",0.578,0.298,-15.453,0.0476,0.72,0.000227,0.696,0.169,98.675,7,1,366627,5,0
11628,4bcWQseNOLnxH4XUgpmgkQ,105 F Remix,1aUGxXCz9QimNkKeiJtzZ7,https://p.scdn.co/mp3-preview/7bcaa06be428738e5e08e72b210f3a9a5ec92bd6?cid=f6c16355a53748e790f598a2bdb1ad10,12.09.19,"['perreo', 'reggaeton', 'reggaeton flow', 'trap latino']",0.9,0.754,-7.016,0.156,0.367,2.73E-06,0.286,0.741,100.045,5,0,464200,67,0
4327,4bcWQseNOLnxH4XUgpmgkQ,115 And 5 Seconds For You,18hSFDMVSWVQo2qkOGLcQP,https://p.scdn.co/mp3-preview/d78f0192e52c56e561d1f3f5ba26288ef59f3728?cid=f6c16355a53748e790f598a2bdb1ad10,14.12.18,"['swiss indie', 'swiss pop']",0.734,0.536,-6.886,0.14,0.929,3.26E-06,0.113,0.193,120.173,10,1,120000,49,0
383,6DjIRlc7hnwSYT3lf95eVy,123 (Dolly Song) (feat. Karma Child),2h4tjVVBuvdwpuNnBq9gt0,https://p.scdn.co/mp3-preview/f17646964be0b506fb84da9ad73d7b22c868e028?cid=e6a77915d1ff4ea8ba6a2b2025712ac9,10.09.21,"['g-house', 'pop edm', 'russian edm']",0.839,0.826,-5.452,0.116,0.113,2.02E-06,0.111,0.631,117.948,9,0,141653,59,0
1795,6DjIRlc7hnwSYT3lf95eVy,"14 Romances, Op. 34: XIV. Vocalise",37BctoEG3OkGzHny8tFCpS,https://p.scdn.co/mp3-preview/9c495c9a6892f7504eec4b7756ed403da329820e?cid=e6a77915d1ff4ea8ba6a2b2025712ac9,11.07.14,"['classical', 'post-romantic era', 'russian romanticism', 'ukrainian classical']",0.151,0.0398,-28.147,0.0431,0.992,0.799,0.0718,0.0808,95.222,4,0,303000,0,0
180,6DjIRlc7hnwSYT3lf95eVy,140G,61t1k1kGqdDWz6Ln1ShdWO,https://p.scdn.co/mp3-preview/3c1c1dfb06d8d23b5ce8081bcfa3b226717c1d04?cid=e6a77915d1ff4ea8ba6a2b2025712ac9,04.11.21,"['francoton', 'french hip hop', 'pop urbaine']",0.753,0.781,-6.819,0.324,0.373,0,0.121,0.737,138.005,2,1,182347,60,0
4072,4bcWQseNOLnxH4XUgpmgkQ,16 Shots,2169IKAivSUUFGcedGASXc,https://p.scdn.co/mp3-preview/2791f8567a7aeb539008eb21cd0de939512c1889?cid=f6c16355a53748e790f598a2bdb1ad10,22.05.17,"['dancehall', 'pop', 'pop rap', 'uk dancehall', 'uk hip hop']",0.684,0.79,-4.871,0.0735,0.0271,0.000371,0.0854,0.549,95.083,3,0,224728,69,0
80,6DjIRlc7hnwSYT3lf95eVy,194 Länder,6rnJn3QbXeYUQpdFsr3kzm,https://p.scdn.co/mp3-preview/710efca1d1f515d005d598bc97a2d951a7cee0c3?cid=e6a77915d1ff4ea8ba6a2b2025712ac9,16.11.18,['german pop'],0.577,0.756,-4.487,0.075,0.109,0,0.13,0.66,104.785,6,1,219320,60,0
5015,4bcWQseNOLnxH4XUgpmgkQ,1x1,4YkX9Qiys9ICKCpio9jTpc,https://p.scdn.co/mp3-preview/21016ef0c4f64f869670d71c981dff84d233bfaa?cid=f6c16355a53748e790f598a2bdb1ad10,24.03.17,"['dance pop', 'hip pop', 'pop', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",0.493,0.584,-6.906,0.167,0.0277,0,0.191,0.485,103.701,9,0,203600,44,0
1730,6DjIRlc7hnwSYT3lf95eVy,2 Become 1 (feat. Robbie Williams),5Sjudsc8Lrt8jQbPUp45mB,https://p.scdn.co/mp3-preview/708f2e3b8fcf12a3c2385241fe985d571e1bcc5d?cid=e6a77915d1ff4ea8ba6a2b2025712ac9,12.04.19,"['bubblegum dance', 'dance pop', 'europop']",0.589,0.504,-7.051,0.0287,0.337,0,0.233,0.432,143.891,6,1,221533,32,0
9365,4bcWQseNOLnxH4XUgpmgkQ,"2 Dollar Bill (feat. Lil Wayne, E-40)",5TTLIG6IKMMcLR3iLYHHYb,https://p.scdn.co/mp3-preview/82732874ce0d342b2336ac185b903a6084e92d2a?cid=f6c16355a53748e790f598a2bdb1ad10,01.03.19,"['atl hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",0.852,0.739,-4.692,0.182,0.37,0,0.0429,0.668,101.019,10,0,240347,40,0
9962,4bcWQseNOLnxH4XUgpmgkQ,2 KIDS,7MYf8wY7RdOgT7fPxJKIR8,https://p.scdn.co/mp3-preview/bf2ba7e316b2c4839a0575c02fc58fb43e2a18ce?cid=f6c16355a53748e790f598a2bdb1ad10,07.09.20,['k-pop'],0.617,0.696,-5.455,0.0692,0.16,0,0.081,0.494,104.011,2,1,213200,40,0
3606,4bcWQseNOLnxH4XUgpmgkQ,2 On (feat. ScHoolboy Q),3jVtllWS5CFFWLQng8sKsr,https://p.scdn.co/mp3-preview/7204d5d349ab0b5459ab5dfcbc3bda2402e13cd0?cid=f6c16355a53748e790f598a2bdb1ad10,01.10.14,"['alternative r&b', 'dance pop', 'electropop', 'hip pop', 'metropopolis', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']",0.742,0.595,-7.51,0.107,0.15,0,0.111,0.431,101.013,9,1,227000,71,0
1544,6DjIRlc7hnwSYT3lf95eVy,2 Stars,2SH3pa2DZoTJBhrDzbubDd,https://p.scdn.co/mp3-preview/31c9d35186b68a20539089fbaf06b8723736ebb5?cid=e6a77915d1ff4ea8ba6a2b2025712ac9,01.01.08,['post-teen pop'],0.748,0.817,-4.647,0.0492,0.00206,0.00215,0.582,0.938,119.995,5,0,175107,23,0
1955,6DjIRlc7hnwSYT3lf95eVy,2 Temas Populares Cubanos: Ojos brujos,6Ag2iH5hf1eLf1zMTf8Kz7,https://p.scdn.co/mp3-preview/b5785dcc161826b9c5b77d71ad0a440c18c180b7?cid=e6a77915d1ff4ea8ba6a2b2025712ac9,06.06.20,"['classical guitar', 'guitarra clasica', 'latin classical']",0.404,0.0311,-32.182,0.0606,0.987,0.925,0.12,0.155,97.011,9,0,130000,2,0
7572,4bcWQseNOLnxH4XUgpmgkQ,20 Collane (feat. Rich The Kid),2DdRH9saLcigV99q7h7Aos,https://p.scdn.co/mp3-preview/c5ee340321c5be00ee8d0a519ae5628f65e04e24?cid=f6c16355a53748e790f598a2bdb1ad10,08.12.18,"['italian hip hop', 'italian pop', 'trap italiana']",0.903,0.686,-3.508,0.0491,0.0586,0,0.123,0.16,129.96,2,1,160000,10,0
1178,6DjIRlc7hnwSYT3lf95eVy,2013 Rap Up,3fWLtgCLd2CVQzKXDnlO3w,https://p.scdn.co/mp3-preview/67e51c4ab88c3ccf187b8075ae41487673b0f0f2?cid=e6a77915d1ff4ea8ba6a2b2025712ac9,01.01.14,['viral pop'],0.694,0.846,-6.903,0.315,0.174,0,0.33,0.624,149.913,9,0,289030,2,0
5296,4bcWQseNOLnxH4XUgpmgkQ,21 Questions,70FCugJxa7XW04Np6iYJdI,https://p.scdn.co/mp3-preview/9e9e67134f1038496f91322ec6191082c5db2bdd?cid=f6c16355a53748e790f598a2bdb1ad10,06.02.03,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']",0.646,0.813,-3.846,0.299,0.349,9.37E-05,0.0427,0.895,92.729,6,0,224440,73,0
10771,4bcWQseNOLnxH4XUgpmgkQ,24. 000 baci,7DUTxDjdlSh4KQc1LtlYPe,https://p.scdn.co/mp3-preview/ab0356b0b48cf13dd4abb30dce628238c7543a9c?cid=f6c16355a53748e790f598a2bdb1ad10,11.02.14,"['classic italian pop', 'italian adult pop']",0.377,0.643,-5.727,0.0462,0.71,0,0.097,0.528,76.259,9,0,138998,0,0
5195,4bcWQseNOLnxH4XUgpmgkQ,2AM,1eX7cu5TMlRlv5kDBFWaWI,https://p.scdn.co/mp3-preview/0b714cca4fff91295be6e7c4d7bfbac8ca863e0a?cid=f6c16355a53748e790f598a2bdb1ad10,08.12.17,['pop rap'],0.779,0.453,-8.983,0.0499,0.13,0,0.256,0.327,127.073,0,1,169842,64,0
5634,4bcWQseNOLnxH4XUgpmgkQ,2step,2SUxn2O9NHL6GHGQFgwCY0,https://p.scdn.co/mp3-preview/87cc1598ed7fefec28579e56ed80a158076f6cb9?cid=f6c16355a53748e790f598a2bdb1ad10,29.10.21,"['pop', 'uk pop']",0.763,0.661,-5.592,0.056,0.169,0,0.117,0.632,95.002,4,0,153627,73,0
4767,4bcWQseNOLnxH4XUgpmgkQ,3 Nights,1tNJrcVe6gwLEiZCtprs1u,https://p.scdn.co/mp3-preview/276fc7b476d9711c8361fd3c3ccfd2156438f8de?cid=f6c16355a53748e790f598a2bdb1ad10,16.10.18,"['alternative pop rock', 'pop']",0.815,0.518,-6.594,0.0897,0.223,0,0.104,0.877,151.891,7,0,177667,79,0
7,6DjIRlc7hnwSYT3lf95eVy,34+35,6Im9k8u9iIzKMrmV7BWtlF,https://p.scdn.co/mp3-preview/960b7fd2457d593ffdd5c1aba37a1b90c2095547?cid=e6a77915d1ff4ea8ba6a2b2025712ac9,30.10.20,"['dance pop', 'pop']",0.83,0.585,-6.476,0.094,0.237,0,0.248,0.485,109.978,0,1,173711,82,0
6388,4bcWQseNOLnxH4XUgpmgkQ,36 Kinihun,249tl96LNHn7OGJLSQwi6v,https://p.scdn.co/mp3-preview/89258260a115ddd1231c3c53aab087433ff8a090?cid=f6c16355a53748e790f598a2bdb1ad10,23.06.21,"['afro dancehall', 'nigerian hip hop']",0.718,0.92,-6.035,0.241,0.16,0,0.283,0.766,104.032,2,1,267238,0,0
1107,6DjIRlc7hnwSYT3lf95eVy,3ème underground,2OhPmMjfXw3aKKEoT9DZbY,https://p.scdn.co/mp3-preview/d9ec1f11030adea364a257a8b4bc4105270692b5?cid=e6a77915d1ff4ea8ba6a2b2025712ac9,16.10.20,"['francoton', 'french hip hop', 'french pop', 'pop urbaine', 'rap conscient']",0.587,0.897,-3.964,0.265,0.181,0,0.474,0.684,90.057,0,1,162907,0,0
3723,4bcWQseNOLnxH4XUgpmgkQ,3SEX,7tbbz1bDAW8T9cmhTPZPTQ,https://p.scdn.co/mp3-preview/00042df4bff162ca4fc6efa1ac8c54f8a33d1ac1?cid=f6c16355a53748e790f598a2bdb1ad10,25.11.20,"['chanson', 'francoton', 'french pop', 'french rock', 'french synthpop']",0.7,0.635,-8.683,0.048,0.434,7.59E-06,0.144,0.303,137.995,0,1,257027,55,0
7767,4bcWQseNOLnxH4XUgpmgkQ,"4 Canzoni populari: No. 2, La donna ideale",6nRpluYb3X6KXrha0GiOSs,https://p.scdn.co/mp3-preview/29c090e733bcd5940c07df9ae300a2215db26946?cid=f6c16355a53748e790f598a2bdb1ad10,15.03.06,"['avant-garde', 'contemporary classical', 'italian contemporary classical', 'serialism']",0.357,0.0944,-14.89,0.0499,0.99,1.43E-05,0.0783,0.182,66.473,0,1,73413,0,0
868,6DjIRlc7hnwSYT3lf95eVy,4 Canzoni populari: No. 3. Avendo gran disio,5DayxdAYjE8fLv9teN37cP,https://p.scdn.co/mp3-preview/1f415adbdc56edc5a825f679a5779be8e90e116e?cid=e6a77915d1ff4ea8ba6a2b2025712ac9,01.01.03,"['avant-garde', 'contemporary classical', 'italian contemporary classical', 'serialism']",0.331,0.0595,-19.867,0.0563,0.99,0.00465,0.0742,0.0497,89.428,5,0,267827,0,0
8535,4bcWQseNOLnxH4XUgpmgkQ,"4 Canzoni populari: No. 4, Ballo",4p46MD8q7wi27Xw2bufIJ6,https://p.scdn.co/mp3-preview/019a62ca54c470af4a02a03ad9665d0bfa2b3322?cid=f6c16355a53748e790f598a2bdb1ad10,15.03.06,"['avant-garde', 'contemporary classical', 'italian contemporary classical', 'serialism']",0.315,0.259,-12.024,0.0392,0.989,7.35E-06,0.117,0.109,132.119,7,0,89800,0,0
8338,4bcWQseNOLnxH4XUgpmgkQ,"4 Danses napolitaines, Op. 8: No. 1, Chanson populaire",3j2civhUHQgAgTryMzJ8kn,https://p.scdn.co/mp3-preview/2d2f98770d396301818b04c8463ce20b1015f169?cid=f6c16355a53748e790f598a2bdb1ad10,10.11.17,"['italian romanticism', 'post-romantic era']",0.409,0.0374,-23.925,0.0427,0.995,0.852,0.108,0.076,67.2,10,1,196987,0,0
5536,4bcWQseNOLnxH4XUgpmgkQ,4 mots sur un piano,5Z2h9F8vQPporYJmAHUPQd,https://p.scdn.co/mp3-preview/1dcb1522a59500076357cd2dc730b917da2fc41a?cid=f6c16355a53748e790f598a2bdb1ad10,26.09.05,"['chanson', 'francoton', 'french pop']",0.464,0.503,-6.05,0.0325,0.678,1.86E-06,0.0837,0.0955,147.707,5,1,260987,54,0
9402,4bcWQseNOLnxH4XUgpmgkQ,40 Ounce Love,0uL1nVrhw7mmquvXJIF5wJ,https://p.scdn.co/mp3-preview/08b2bba38a6574f51283e7551e4464f8fff2a679?cid=f6c16355a53748e790f598a2bdb1ad10,29.11.19,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",0.522,0.733,-8.133,0.329,0.031,0,0.312,0.288,90.084,1,1,177623,30,0
2020,6DjIRlc7hnwSYT3lf95eVy,410 x TPL x CGM x Fumez The Engineer - Plugged In,3f07rk2JlVgTauO0dt1dYt,https://p.scdn.co/mp3-preview/d2f479e71df44a8ce6e1fa33eb94435bee467805?cid=e6a77915d1ff4ea8ba6a2b2025712ac9,01.03.21,"['uk drill', 'uk melodic rap']",0.848,0.646,-9.25,0.327,0.125,3.23E-06,0.0956,0.779,142.077,6,0,243380,52,0
4951,4bcWQseNOLnxH4XUgpmgkQ,4-Zimmer-Wohnung,5DUlfe77UcRijA9ZuU6dQw,https://p.scdn.co/mp3-preview/ed6da25b2db21aef8c89ef580f8ec66fbac1500c?cid=f6c16355a53748e790f598a2bdb1ad10,05.11.21,['german pop'],0.624,0.606,-6.825,0.165,0.548,5.43E-06,0.114,0.281,169.712,6,1,187373,45,0
5248,4bcWQseNOLnxH4XUgpmgkQ,4-Zimmer-Wohnung - Piano Sessions,7tBg26i5cTsOV8VV5LbgPC,https://p.scdn.co/mp3-preview/8dce24aa64175e3eb0a074c6587b5111d7bbd5a8?cid=f6c16355a53748e790f598a2bdb1ad10,05.11.21,['german pop'],0.524,0.246,-8.383,0.0757,0.927,0,0.0924,0.348,165.845,6,1,196159,40,0
6206,4bcWQseNOLnxH4XUgpmgkQ,5 Bills,5d8zfWMjFkaQFFJ37O6Xfl,https://p.scdn.co/mp3-preview/ea3cb3d4eb7b928d3d1e67bf87e4d174675cb912?cid=f6c16355a53748e790f598a2bdb1ad10,03.05.19,"['dancehall', 'reggae fusion']",0.707,0.823,-4.375,0.133,0.328,0,0.249,0.88,90.134,9,0,235667,5,0
